Item_Number, UPC_Code, Quantity_NC, Quantity_AZ
18067,810021510439,A*,A*
18068,810021510422,A*,A*
18478,810021510446,A*,A*
18479,810021510453,A*,A*
18480,810021510460,A*,A*
18490,810021510569,A*,A*
18491-BRT,810021510576,1,1
18493,810021510590,7,11
18494-BRT,810021510606,3,0
18496,810021510620,A*,A*
18502,810021510682,A*,A*
18503,810021510699,A*,A*
18504,810021510705,A*,A*
18514-BRT,810021510804,A*,A*
18520,810021510866,A*,A*
12808,816715012449,12,7
13355,816715010957,0,0
14077,816715013453,0,0
13312,816715010223,A*,A*
BA-MLOK-HS,810033785177,0,0
BAD-ASS-LITE,810033782534,0,0
BAD-ASS-LITE-BL,810033785696,8,1
BAD-ASS-LITE-OD,810033785573,0,4
BAD-ASS-LITE-PR,810033782565,12,14
BAD-ASS-LITE-RD,810033785689,0,0
BAD-ASS-PRO,810033782541,15,10
BAD-EMMR-L-B,810033780486,0,0
BAD-EMMR-L-FDE,810033780516,6,0
BAD-EMMR-L-R,810033780509,20,15
BAD-EMR-B,810033780431,2,15
BAD-EMR-FDE,810033780462,2,2
BAD-EMR-OD,810033784194,26,10
BAD-EMR-R,810033780455,7,4
BAD-EPS,810033780394,7,1
BAD-EPS-TI,810033780400,2,2
BAD-EPS-TI-B,810033780417,6,1
BAD-LPK-PK3,810033781261,1,5
BAD-MRK-PK1,810033781285,0,4
BAD-MRK-PK2,810033781292,3,4
BAD-RACK-15,810033781834,0,0
LOM-AP-193,810033785771,17,0
LOM-AP-ABS,810033785788,6,6
J212125,082442933849,0,0
J212126,082442933856,2,1
J212500,082442188744,0,0
J320125,082442933825,2,0
J320126,082442933832,43,13
J320500,082442188812,0,0
J80XBLK13,082442969411,0,0
J90A192FSRF19SK,082442874500,0,8
J90A1M9A1F19,082442736372,50,32
J90A1M9F19,082442736396,0,0
J92CR92070,082442940878,0,0
J92CR920G70,082442940908,0,0
J92CR92170,082442940885,0,0
J92CR921G70,082442940915,0,0
J92F300M,082442815503,0,0
J92FR91570,082442940816,0,0
J92FR915G70,082442925998,0,0
J92FR92070,082442940793,0,2
J92FR920G70,082442925974,1,3
J92FR92170,082442940809,0,0
J92FR921G70,082442925981,0,0
J92FSR921,082442937885,0,0
J92M9A0CA,082442884967,0,0
J92M9AO,082442816838,0,0
J92M9AOM,082442816371,0,0
J92QR91570,082442940854,0,0
J92QR915G70,082442926131,0,5
J92QR92070,082442940830,0,0
J92QR920G70,082442926117,0,0
J92QR92170,082442940847,0,0
J92QR921G70,082442926124,0,0
J92XFMSA21M1,082442967363,0,0
J92XPCO21,082442960357,0,0
J9A4F11,082442111117,0,0
J9A9F10,082442111087,0,0
J9A9F11,082442111094,0,0
JAXF915AI,082442954905,37,16
JAXF920A1,082442954899,6,3
JAXF921A1,082442954912,0,2
JAXN926A1,082442943084,0,2
JAXN927A1,082442943091,0,0
JS92M9A4M15,082442940694,0,0
JS92M9A4GM,082442940687,0,0
JS92QM9A4GM,082442940724,0,0
JS92QM9A4M15,082442940731,0,0
JXC9F21,082442154282,0,1
JXC9GEL,082442864686,34,13
JXF5F25,082442819754,0,0
JXF9F20,082442817286,0,2
JXF9F21,082442818191,99+,18
SPEC0701A,082442974279,6,4
SPEC0706A,082442969435,0,0
