



ITEM NO	ITEM_DESC	MSP	MSRP	DEALER PRICE	RETAIL-MAP	sale-price	end-sale	UPC	BRAND	FIREARM-ACTION	ATF-MODEL	CAL/GA
75477	MII SIL RES CMP 20M/26MC SIL W	594.99	820.00	594.99	N/A	0.00		884110754776	MOSSBERG INTERNATIONAL, INC	SHOTGUN	SILVER RESERVE	20 GA
75478	MII SIL RES OU 28M/26MC SIL WA	594.99	820.00	594.99	N/A	0.00		884110754783	MOSSBERG INTERNATIONAL, INC	SHOTGUN	SILVER RESERVE	28 GAUGE
75479	MII SIL RES OU 410/26MC SIL WA	594.99	820.00	594.99	N/A	0.00		884110754790	MOSSBERG INTERNATIONAL	SHOTGUN	SILVER RESERVE	410 GAUGE
75480	MII GLD RES OU 410/28MC SIL WA	824.99	1135.00	824.99	N/A	0.00		884110754806	MOSSBERG INTERNATIONAL	SHOTGUN	GOLD RESERVE	410 GAUGE
75769	MII SA-28 CMP FLD SA 28M/24MC	524.99	721.00	524.99	N/A	0.00		884110757692	MOSSBERG INTERNATIONAL	SHOTGUN	SA-28	28 GAUGE
75770	MII SA-20 YTH FLD SA 20M/24MC	524.99	721.00	524.99	N/A	0.00		884110757708	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75771	MII SA-20 FIELD SA 20M/28MC B	524.99	721.00	524.99	N/A	0.00		884110757715	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75772	MII SA-20 FIELD SA 20M/26MC B	524.99	721.00	524.99	N/A	0.00		884110757722	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75780	MII SA-20 TACT SA 20M/20CB PG	529.99	728.00	529.99	N/A	0.00		884110757807	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75789	MII SA-20 FLD 20M/26MC SHT WAL	604.99	827.00	604.99	N/A	0.00		884110757890	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75793	MII SA-20 CMP SA 20M/24MC WAL	604.99	827.00	604.99	N/A	0.00		884110757937	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75795	MII SA-410 TKY 410M/26MC CAMO	654.99	902.00	654.99	N/A	0.00		884110757951	MOSSBERG INTERNATIONAL	SHOTGUN	SA-410	410 GAUGE
75799	MII SA-20 TKY SA 20M/22MC CAMO	649.99	902.00	649.99	N/A	0.00		884110757999	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75801	MII SA-20 TKY SA 20M/22MC CAMO	589.99	816.00	589.99	N/A	0.00		884110758019	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	20 GAUGE
75802	MII SA-20 TKY SA 28M/22MC CAMO	649.99	902.00	649.99	N/A	0.00		884110758026	MOSSBERG INTERNATIONAL	SHOTGUN	SA-20	28 GAUGE
770061	EAA BNTY HUNT 357M 4.5B	441.00	598.00	441.00	552.00	0.00		741566103339	EUROPEAN AMERICAN ARMORY	REVOLVER	BOUNTY HUNTER	357|38SP
770125	EAA WINDICATOR 38SP REV 2B CA	299.00	406.00	299.00	374.00	0.00		741566103599	EUROPEAN AMERICAN ARMORY	REVOLVER	WINDICATOR	38SP
770127	EAA WINDICATOR 357 REV 2 NKL	375.00	509.00	375.00	470.00	0.00		741566600678	EUROPEAN AMERICAN ARMORY	REVOLVER	WINDICATOR	357
770128	EAA WINDICATOR 357 REV 4 NKL	389.00	527.00	389.00	487.00	0.00		741566600685	EUROPEAN AMERICAN ARMORY CORP.	REVOLVER	WINDICATOR	38SP/357MAG
770130	EAA WINDICATOR 357 REV 2B FS	357.00	484.00	357.00	447.00	0.00		741566103605	EUROPEAN AMERICAN ARMORY CORP.	REVOLVER	WINDICATOR	357
770133	EAA WINDICATOR 357 REV 4B FS	335.00	454.00	335.00	419.00	0.00		741566103612	EUROPEAN AMERICAN ARMORY	REVOLVER	WINDICATOR	357
798681317479	SIG 1911 STX SA PST 45AP 8R 5B	1046.00	1299.99	1046.00	N/A	0.00		798681317479	SIG SAUER	PISTOL	1911	45AP
798681402144	SIG P220 ELITE PST DA 45AP 8R	879.00	1099.99	879.00	999.99	0.00		798681402144	SIG SAUER	PISTOL	P220	45AP
798681406562	SIG P226 ELITE DA 9MM 10R	879.00	1099.99	879.00	999.99	0.00		798681406562	SIG SAUER	PISTOL	P226	9MM
798681406586	SIG P229 ELITE PST DA 9MM 10R	879.00	1099.99	879.00	999.99	0.00		798681406586	SIG SAUER	PISTOL	P229	9mm
798681406609	SIG P226 ELITE PST DA 9MM 15R	879.00	1099.99	879.00	999.99	0.00		798681406609	SIG SAUER	PISTOL	P226	9MM PARA
798681406623	SIG P229 ELITE PST DA 9MM 15R	879.00	1099.99	879.00	999.99	0.00		798681406623	SIG SAUER	PISTOL	P229	9MM
798681430376	SIG P226 PST DA 9MM 10R BLK CA	879.00	1099.99	879.00	999.99	0.00		798681430376	SIG SAUER	PISTOL	P226	9MM PARA
798681430413	SIG P229 NIT DA PST 9MM 10R CA	879.00	1099.99	879.00	999.99	0.00		798681430413	SIG SAUER	PISTOL	P229	9MM PARA
798681434732	SIG P229 ENH-EL PST 9MM 10R CA	1046.00	1299.99	1046.00	1199.99	0.00		798681434732	SIG SAUER	PISTOL	P229	9MM
798681437139	SIG 1911 NIT PST 45AP 8R 5B CA	1133.00	1429.99	1133.00	1299.99	0.00		798681437139	SIG SAUER	PISTOL	1911	45AP
798681437146	SIG 1911 SS PST 45AP 8R BDG CA	1133.00	1429.99	1133.00	1299.99	0.00		798681437146	SIG SAUER	PISTOL	SIG SAUER 1911	45AP
798681437238	SIG P220 PST DA 45AP 8R BLK CA	879.00	1099.99	879.00	999.99	0.00		798681437238	SIG SAUER	PISTOL	P220	45AP
798681437313	SIG P226 MK-25 DA 9MM 10R CA	1046.00	1299.99	1046.00	1199.99	0.00		798681437313	SIG SAUER	PISTOL	P226	9MM PARA
798681437528	SIG SP2022 NIT 9MM 10R NS CA	527.00	679.99	527.00	599.99	0.00		798681437528	SIG SAUER	PISTOL	SP2022	9MM PARA
798681439126	SIG P226 MK-25 PST DA 9MM 10R	959.00	1199.99	959.00	1099.99	0.00		798681439126	SIG SAUER	PISTOL	P226	9MM PARA
